Parameter Name,Param Page,Param #,Min Val,Max Val,Display Offset,Options,Path
Bank Select,A,0,0,3,,,
Mod Wheel,A,1,0,127,,,
Breath Ctrl,A,2,0,127,,,
Ctrl 3,A,3,0,127,,,
Foot Ctrl,A,4,0,127,,,
Porta Time,A,5,0,127,,,
Data Slider,A,6,0,127,,,
Volume,A,7,0,127,,,
Balance,A,8,0,127,,,
Ctrl 9,A,9,0,127,,,
Pan,A,10,0,127,-64,,
Expression,A,11,0,127,,,
Ctrl 12,A,12,0,127,,,
Ctrl 13,A,13,0,127,,,
Ctrl 14,A,14,0,127,,,
Ctrl 15,A,15,0,127,,,
Ctrl 16,A,16,0,127,,,
Osc 1 Shape,A,17,0,127,-64,,
Osc 1 Pulsewidth,A,18,0,127,,,
Osc 1 Wave Select,A,19,0,64,,"Sine, Triangle, Wave 3..64",
Osc 1 Semitone,A,20,0,127,-64,,
Osc 1 Keyfollow,A,21,0,127,-64,Default: 32,
Osc 2 Shape,A,22,0,127,-64,,
Osc 2 Pulsewidth,A,23,0,127,,,
Osc 2 Wave Select,A,24,0,64,,"Sine, Triangle, Wave 3..64",
Osc 2 Semitone,A,25,0,127,-64,,
Osc 2 Detune,A,26,0,127,,,
Osc 2 FM Amount,A,27,0,127,,,
Osc 2 Sync,A,28,0,127,,0:Off 1:On,
Osc 2 Fit Env Amt,A,29,0,127,-64,,
FM Fit Env Amt,A,30,0,127,-64,,
Osc 2 Keyfollow,A,31,0,127,-64,Default: 32,
Bank Select,A,32,0,3,,Bank ABCD,
Osc Balance,A,33,0,127,-64,,
Suboscillator Volume,A,34,0,127,,,
Suboscillator Shape,A,35,0,1,,0:Square 1:Triangle,
Osc Mainvolume,A,36,0,127,,,
Noise Volume,A,37,0,127,,,
Ringmodulator Volume,A,38,0,127,,,
Noise Color,A,39,0,127,-64,,
Cutoff,A,40,0,127,,,
Cutoff2,A,41,0,127,-64,,
Filter 1 Resonance,A,42,0,127,,,
Filter 2 Resonance,A,43,0,127,,,
Filter 1 Env Amt,A,44,0,127,,,
Filter 2 Env Amt,A,45,0,127,,,
Filter 1 Keyfollow,A,46,0,127,-64,,
Filter 2 Keyfollow,A,47,0,127,-64,,
Filter Balance,A,48,0,127,-64,,
Saturation Curve,A,49,0,6,,0:Off 1:Light 2:Soft 3:Middle 4:Hard 5:Digital,
,A,50,,,,,
Filter 1 Mode,A,51,0,3,,0:LP 1:HP 2:BP 3:BS,
Filter 2 Mode,A,52,0,3,,0:LP 1:HP 2:BP 3:BS,
Filter Routing,A,53,0,3,,0:Ser4 1:Ser6 2:Par4 3:Split,
Filter Env Attack,A,54,0,127,,,
Filter Env Decay,A,55,0,127,,,
Filter Env Sustain,A,56,0,127,,,
Filter Env Sustain Time,A,57,0,127,-64,,
Filter Env Release,A,58,0,127,,,
Amp Env Attack,A,59,0,127,,,
Amp Env Decay,A,60,0,127,,,
Amp Env Sustain,A,61,0,127,,,
Amp Env Sustain Time,A,62,0,127,-64,Fall Infinite Rise,
Amp Env Release,A,63,0,127,,,
Hold Pedal,A,64,,,,,
Portamento Pedal,A,65,,,,,
Sostenuto Pedal,A,66,,,,,
LFO 1 Rate,A,67,0,127,,,
LFO 1 Shape,A,68,0,5,,0:Sine 1:Tri 2:Saw 3:Square 4:S&H 5:S&G,
LFO 1 Env Mode,A,69,0,1,,0:Off 1:On,
LFO 1 Mode,A,70,0,1,,0:Poly 1:Mono,
LFO 1 Symmetry,A,71,0,127,-64,,
LFO 1 Keyfollow,A,72,0,127,,,
LFO 1 Keytrigger,A,73,0,127,,0:Off 1..127:Keytrigger Phase,
Osc 1 LFO Amount,A,74,0,127,-64,,
Osc 2 LFO Amount,A,75,0,127,-64,,
PW LFO 1 Amount,A,76,0,127,-64,,
Reso LFO 1 Amount,A,77,0,127,-64,,
FiltGain LFO 1 Amount,A,78,0,127,-64,,
LFO 2 Rate,A,79,0,127,,,
LFO 2 Shape,A,80,0,5,,0:Sine 1:Tri 2:Saw 3:Square 4:S&H 5:S&G,
LFO 2 Env Mode,A,81,0,1,,0:Off 1:On,
LFO 2 Mode,A,82,0,1,,0:Poly 1:Mono,
LFO 2 Symmetry,A,83,0,127,-64,,
LFO 2 Keyfollow,A,84,0,127,,,
LFO 2 Keytrigger,A,85,0,127,,0:Off 1..127:Keytrigger Phase,
OscShape LFO 2 Amount,A,86,0,127,-64,,
FMAmount LFO 2 Amount,A,87,0,127,-64,,
Cutoff1 LFO 2 Amount,A,88,0,127,-64,,
Cutoff2 LFO 2 Amount,A,89,0,127,-64,,
Panorama LFO 2 Amount,A,90,0,127,-64,,
Patch Volume,A,91,0,127,,,
,A,92,,,,,
Transpose,A,93,0,127,-64,,
Key Mode,A,94,0,4,,0:Poly 1..4:Mono1-4,
,A,95,,,,,
,A,96,,,,,
Unison Mode,A,97,0,15,,0:Off 1:Twin 2..15,
,A,98,,,,,
Unison Panorama Spread,A,99,0,127,,,
Unison LFO Phase,A,100,0,127,-64,,
Input Mode,A,101,0,2,,0:Off 1:Dynamic 2:Static 3:ToEffects,
Input Select,A,102,0,8,,0:In1L 1:In1L+R 2:In1R..,
,A,103,,,,,
,A,104,,,,,
Chorus Mix,A,105,0,127,,,
Chorus Rate,A,106,0,127,,,
Chorus Depth,A,107,0,127,,,
Chorus Delay,A,108,0,127,,,
Chorus LFO Shape,A,109,0,5,,0:Sine 1:Tri 2:Saw 3:Square 4:S&H 5:S&G,
,A,110,,,,,
Delay/Reverb Mode,A,111,0,1,,0:Off 1:Delay 2:Reverb 3:Rev+Feedb1,
Effect Send,A,112,0,127,,,
Delay Time,A,113,0,127,,,
Delay Feedback,A,114,0,127,,,
Delay Rate,A,115,0,127,,,
Reverb Decay Time,A,116,0,127,,,
Delay Depth,A,117,0,127,,,
Reverb Room Size,A,118,0,3,,0:Ambiance 1:SmallRoom 2:LargeRoom 3:Hall,
Delay LFO Shape,A,119,0,5,,0:Sine 1:Tri 2:Saw 3:Square 4:S&H 5:S&G,
Reverb Damping,A,120,0,127,,,
Delay Color,A,121,0,127,-64,,
Keyb Local,A,122,0,1,,0:Off 1:On,
All Notes Off,A,123,,,,,
