Parameter Name,CC,NRPN,Min Val,Max Val,Display Offset,Options,Path
Osc1 Type,,9,,,,OscType.csv,
Osc2 Type,,10,,,,OscType.csv,
Sub Waveform,,11,,,,SubWaveform.csv,
Sub Octave,,12,62,63,-64,,
Filter Type,,13,,,,Filters.csv,
Flt Kbd Tracking,,14,,,,KeybaordTracking.csv,
Env1 Type,,15,,,,Envelope.csv,
Env1 Trig Reset,,16,,,,"On,Off",
Env2 Type,,17,,,,Envelope.csv,
Env2 Trig Reset,,18,,,,"On,Off",
Env3 Type,,19,,,,Envelope.csv,
Env3 Trig Reset,,20,,,,"On,Off",
LFO1 Type,,21,,,,LFOType.csv,
LFO1 Speed,,22,,,,LFOSpeed.csv,
LFO1 Delay,,23,,,,LFODelay.csv,
LFO1 Phase,,24,,,,LFOPhase.csv,
LFO1 Trig Reset,,25,0,1,,"On,Off",
LFO2 Type,,26,,,,LFOType.csv,
LFO2 Speed,,27,,,,LFOSpeed.csv,
LFO2 Delay,,28,,,,LFODelay.csv,
LFO2 Phase,,29,,,,LFOPhase.csv,
LFO2 Trig Reset,,30,0,1,,"On,Off",
LFO3 Type,,31,,,,LFOType.csv,
LFO3 Speed,,32,,,,LFOSpeed.csv,
LFO3 Delay,,33,,,,LFODelay.csv,
LFO3 Phase,,34,,,,LFOPhase.csv,
LFO3 Trig Reset,,35,0,1,,"On,Off",
Patch1 Source,,36,,,,ModulationSource.csv,
Patch1 Dest,,37,,,,ModulationDestination.csv,
Patch2 Source,,38,,,,ModulationSource.csv,
Patch2 Dest,,39,,,,ModulationDestination.csv,
Patch3 Source,,40,,,,ModulationSource.csv,
Patch3 Dest,,41,,,,ModulationDestination.csv,
Patch4 Source,,42,,,,ModulationSource.csv,
Patch4 Dest,,43,,,,ModulationDestination.csv,
Patch5 Source,,44,,,,ModulationSource.csv,
Patch5 Dest,,45,,,,ModulationDestination.csv,
Patch6 Source,,46,,,,ModulationSource.csv,
Patch6 Dest,,47,,,,ModulationDestination.csv,
Scaler1 Source,,48,,,,ScalerSource.csv,
Scaler1 Destination,,49,,,,ScalerDestination.csv,
Scaler2 Source,,50,,,,ScalerSource.csv,
Scaler2 Destination,,51,,,,ScalerDestination.csv,
Scaler2 Source,,52,,,,ScalerSource.csv,
Scaler2 Destination,,53,,,,ScalerDestination.csv,
Lag Source,,54,,,,LagSource.csv,
FX Type,,55,,,,FXType.csv,
Arp,,56,0,1,,"On,Off",
Arp Style,,57,,,,ArpStyle.csv,
Arp Octaves,,58,0,3,,"0,1,2,3",
Arp Speed,,59,,,,ArpSpeed.csv,
Arp Latch,,60,0,1,,"On,Off",
Step 1 Note,,61,,,,ArpSteps.csv,
Step 2 Note,,62,,,,ArpSteps.csv,
Step 3 Note,,63,,,,ArpSteps.csv,
Step 4 Note,,64,,,,ArpSteps.csv,
Step 5 Note,,65,,,,ArpSteps.csv,
Step 6 Note,,66,,,,ArpSteps.csv,
Step 7 Note,,67,,,,ArpSteps.csv,
Step 8 Note,,68,,,,ArpSteps.csv,
Step 9 Note,,69,,,,ArpSteps.csv,
