Parameter Name,NRPN Layer A,NRPN Layer B,Byte Layer A,Min Val,Max Val,Display Offset,Options,Path,Notes,
Osc 1 Frequency,0,2048,0,0,120,,,"osc, i(0), semitone",Semitones (C0 - C10),
Osc 1 Frequency Fine,1,2049,2,0,101,-50,,"osc, i(0), detune",Cents,
Osc 1 Shape,2,2050,4,,,,osc-shapes.csv,"osc, i(0), shape",,
Osc 1 Glide,3,2051,8,0,127,,,"osc, i(0), glide",,
Osc 1 Keyboard,4,2052,10,,,,"Off, On","osc, i(0), keyTrk",,
Osc 2 Frequency,5,2053,1,0,120,,,"osc, i(1), semitone",Semitones (C0 - C10),
Osc 2 Frequency Fine,6,2054,3,0,101,-50,,"osc, i(1), detune",Cents,
Osc 2 Shape,7,2055,5,,,,osc-shapes.csv,"osc, i(1), shape",,
Osc 2 Glide,8,2056,9,0,127,,,"osc, i(1), glide",,
Osc 2 Keyboard,9,2057,11,,,,"Off, On","osc, i(1), keyTrk",,
Osc Sync,10,2058,17,,,,"Off, On",sync,,
Glide Mode,11,2059,18,,,,glide-modes.csv,"glide, mode",,
Osc Slop,12,2060,21,0,127,,,slop,,
Osc 1/2 Mix,13,2061,14,0,127,,,mix,,
Noise Level,14,2062,16,0,127,,,noise,,
Filter Cutoff,15,2063,22,0,164,,,cutoff,,
Filter Resonance,16,2064,23,0,127,,,reson,,
Filter Key Amount,17,2065,24,0,127,,,"filter, keyTrk",,
Filter Audio Mod,18,2066,25,0,127,,,"filter, extAudio",,
Filter Mode,19,2067,26,,,,filter-modes.csv,"filter, fourPole",,
Filter Envelope Amount,20,2068,32,0,254,-127,,"filter, env, amt",,
Filter Velocity Amount,21,2069,35,0,127,,,"filter, env, velo",,
Filter Envelope Delay,22,2070,38,0,127,,,"filter, env, delay",,
Filter Envelope Attack,23,2071,41,0,127,,,"filter, env, attack",,
Filter Envelope Decay,24,2072,44,0,127,,,"filter, env, decay",,
Filter Envelope Sustain,25,2073,47,0,127,,,"filter, env, sustain",,
Filter Envelope Release,26,2074,50,0,127,,,"filter, env, release",,
Pan Spread,28,2076,29,0,127,,,pan,,
Program Volume,29,2077,28,0,127,,,volume,,
VCA Envelope Amount,30,2078,33,0,127,,,"amp, env, amt",,
VCA Velocity Amount,31,2079,36,0,127,,,"amp, env, velo",,
VCA Envelope Delay,32,2080,39,0,127,,,"amp, env, delay",,
VCA Envelope Attack,33,2081,42,0,127,,,"amp, env, attack",,
VCA Envelope Decay,34,2082,45,0,127,,,"amp, env, decay",,
VCA Envelope Sustain,35,2083,48,0,127,,,"amp, env, sustain",,
VCA Envelope Release,36,2084,51,0,127,,,"amp, env, release",,
LFO 1 Frequency,37,2085,53,0,150,,,"lfo, i(0), freq",,
LFO 1 Frequency Sync,37,2085,204,,,,lfo-sync-times.csv,"lfo, i(0), freq, sync",,
LFO 1 Shape,38,2086,57,,,,lfo-shapes.csv,"lfo, i(0), shape",,
LFO 1 Amount,39,2087,61,0,127,,,"lfo, i(0), amt",,
LFO 1 Destination,40,2088,65,,,,mod-destinations-1.csv,"lfo, i(0), dest",,
LFO 1 Clock Sync,41,2089,69,,,,"Off, On","lfo, i(0), clock, sync",,
LFO 2 Frequency,42,2090,54,0,150,,,"lfo, i(1), freq",,
LFO 2 Frequency Sync,42,2090,205,,,,lfo-sync-times.csv,"lfo, i(1), freq, sync",,
LFO 2 Shape,43,2091,58,,,,lfo-shapes.csv,"lfo, i(1), shape",,
LFO 2 Amount,44,2092,62,0,127,,,"lfo, i(1), amt",,
LFO 2 Destination,45,2093,66,,,,mod-destinations-1.csv,"lfo, i(1), dest",,
LFO 2 Clock Sync,46,2094,70,,,,"Off, On","lfo, i(1), clock, sync",,
