Parameter Name,Address,Min Val,Max Val,Display Offset,Options,Path,Notes
Low freq,0,0,1,,"200, 400","lo, freq",
Low gain,1,0,1E,-15,,"lo, gain",-15.0 - +15.0dB (1dB step)
Mid freq,2,0,10,,"200, 250, 315, 400, 500, 630, 800, 1k, 1.25k, 1.6k, 2k, 2.5k, 3.15k, 4k, 5k, 6.3k, 8kHz","mid, freq",
Mid Q,3,0,4,,"0.5, 1.0, 2.0, 4.0, 9.0","mid, q",
Mid gain,4,0,1E,-15,,"mid, gain",-15.0 - +15.0dB (1dB step)
High freq,5,0,1,,"4k, 8k","hi, freq",
High gain,6,0,1E,-15,,"hi, gain",-15.0 - +15.0dB (1dB step)
Bender range down,7,0,30,,,"bend, down",
Bender range up,8,0,0C,,,"bend, up",
A-touch bend sens,9,0,1A,,,"aftertouch, bend","-36, -24,     -12 - +12 semitones"
