Parameter Name,Param #,Byte #,Byte Count,Min Val,Max Val,Display Offset,Options,Path
FX Type,Same as Byte #,C,,0,39,,,
FX Param 1,,D,,0,127,,,
FX Param 2,,E,,0,127,,,
FX Param 3,,F,,0,127,,,
FX Param 4,,10,,0,127,,,
FX Param 5,,11,,0,127,,,
FX Param 6,,12,,0,127,,,
FX Param 7,,13,,0,127,,,
FX Param 8,,14,,0,127,,,
FX Param 9,,15,,0,127,,,
FX Param 10,,16,,0,127,,,
FX Param 11,,17,,0,127,,,
FX Param 12,,18,,0,127,,,
FX Output,,19,,,,,"Mix, Output 1, Output 2",
FX Out Level,,1A,,0,127,,,
FX Chorus Level,,1B,,0,127,,,
FX Reverb Level,,1C,,0,127,,,
FX Ctrl Src 1,,1D,,0,,,,
FX Ctrl Depth 1,,1E,,0,,,,
FX Ctrl Src 2,,1F,,0,,,,
FX Ctrl Depth 2,,20,,0,,,,
Chorus Level,,21,,0,,,,
Chorus Rate,,22,,0,,,,
Chorus Depth,,23,,0,,,,
Chorus Pre-delay,,24,,0,,,,
Chorus Feedback,,25,,0,,,,
Chorus Output,,26,,0,,,,
Reverb Type,,27,,0,,,,
Reverb Level,,28,,0,,,,
Reverb Time,,29,,0,,,,
Reverb HF Damp,,2A,,0,,,,
Reverb Feedback,,2B,,0,,,,
Tempo,,2C,2,0,,,,
Patch Level,,2E,,0,,,,
Patch Pan,,2F,,0,,,,
Analog Feel,,30,,0,,,,
Bend Up,,31,,0,,,,
Bend Down,,32,,0,,,,
Key Assign Mode,,33,,0,,,,
Solo Legato,,34,,0,,,,
Porta On,,35,,0,,,,
Porta Mode,,36,,0,,,,
Porta Type,,37,,0,,,,
Porta Start,,38,,0,,,,
Porta Time,,39,,0,,,,
Patch Ctrl Src 2,,3A,,0,,,,
Patch Ctrl Src 3,,3B,,0,,,,
FX Ctrl Hold/Peak,,3C,,0,,,,
Ctrl 1 Hold/Peak,,3D,,0,,,,
Ctrl 2 Hold/Peak,,3E,,0,,,,
Ctrl 3 Hold/Peak,,3F,,0,,,,
Velo Range,,40,,0,,,,
Octave Shift,,41,,0,,,,
Stretch Tune,,42,,0,,,,
Voice Priority,,43,,0,,,,
Structure 1/2,,44,,0,,,,
Boost Level 1/2,,45,,0,,,,
Structure 3/4,,46,,0,,,,
Boost Level 3/4,,47,,0,,,,
