Parameter Name,Param #,Byte #,Byte Count,Min Val,Max Val,Display Offset,Options,Path
Tone On,,0,,,,,,
Wave Group,,1,,,,,,
Wave Group ID,,2,,,,,,
Wave Number,,3,2,,,,,
Wave Gain,,5,,,,,,
FXM On,,6,,,,,,
FXM Color,,7,,,,,,
FXM Depth,,8,,,,,,
Tone Delay Mode,,9,,,,,,
Tone Delay Time,,A,,,,,,
Velo Cross Fade Depth,,B,,,,,,
Velo Range Lower,,C,,,,,,
Velo Range Upper,,D,,,,,,
Key Range Lower,,E,,,,,,
Key Range Upper,,F,,,,,,
Redamper Ctrl On,,10,,,,,,
Volume Ctrl On,,11,,,,,,
Hold-1 Ctrl On,,12,,,,,,
Bend Ctrl On,,13,,,,,,
Pan Ctrl On,,14,,,,,,
Ctrl 1 Destination 1,,15,,,,,,
Ctrl 1 Depth 1,,16,,,,,,
Ctrl 1 Destination 2,,17,,,,,,
Ctrl 1 Depth 2,,18,,,,,,
Ctrl 1 Destination 3,,19,,,,,,
Ctrl 1 Depth 3,,1A,,,,,,
Ctrl 1 Destination 4,,1B,,,,,,
Ctrl 1 Depth 4,,1C,,,,,,
Ctrl 2 Destination 1,,1D,,,,,,
Ctrl 2 Depth 1,,1E,,,,,,
Ctrl 2 Destination 2,,1F,,,,,,
Ctrl 2 Depth 2,,20,,,,,,
Ctrl 2 Destination 3,,21,,,,,,
Ctrl 2 Depth 3,,22,,,,,,
Ctrl 2 Destination 4,,23,,,,,,
Ctrl 2 Depth 4,,24,,,,,,
Ctrl 3 Destination 1,,25,,,,,,
Ctrl 3 Depth 1,,26,,,,,,
Ctrl 3 Destination 2,,27,,,,,,
Ctrl 3 Depth 2,,28,,,,,,
Ctrl 3 Destination 3,,29,,,,,,
Ctrl 3 Depth 3,,2A,,,,,,
Ctrl 3 Destination 4,,2B,,,,,,
Ctrl 3 Depth 4,,2C,,,,,,
LFO 1 Wave,,2D,,,,,,
LFO 1 Key Trig,,2E,,,,,,
LFO 1 Rate,,2F,,,,,,
LFO 1 Level Offset,,30,,,,,,
LFO 1 Delay,,31,,,,,,
LFO 1 Fade Mode,,32,,,,,,
LFO 1 Fade Time,,33,,,,,,
LFO 1 Ext Sync,,34,,,,,,
LFO 2 Wave,,35,,,,,,
LFO 2 Key Trig,,36,,,,,,
LFO 2 Rate,,37,,,,,,
LFO 2 Level Offset,,38,,,,,,
LFO 2 Delay,,39,,,,,,
LFO 2 Fade Mode,,3A,,,,,,
LFO 2 Fade Time,,3B,,,,,,
LFO 2 Ext Sync,,3C,,,,,,
Coarse Tune,,3D,,,,,,
Fine Tune,,3E,,,,,,
Random Pitch Depth,,3F,,,,,,
Pitch Keyfollow,,40,,,,,,
Pitch Env Depth,,41,,,,,,
Pitch Env Velo Sens,,42,,,,,,
Pitch Env Velo T1 Sens,,43,,,,,,
Pitch Env Velo T4 Sens,,44,,,,,,
Pitch Env Time Keyfollow,,45,,,,,,
Pitch Env Time 1,,46,,,,,,
Pitch Env Time 2,,47,,,,,,
Pitch Env Time 3,,48,,,,,,
Pitch Env Time 4,,49,,,,,,
Pitch Env Level 1,,4A,,,,,,
Pitch Env Level 2,,4B,,,,,,
Pitch Env Level 3,,4C,,,,,,
Pitch Env Level 4,,4D,,,,,,
Pitch LFO 1 Depth,,4E,,,,,,
Pitch LFO 2 Depth,,4F,,,,,,
Filter Type,,50,,,,,,
Cutoff,,51,,,,,,
Cutoff Keyfollow,,52,,,,,,
Resonance,,53,,,,,,
Resonance Keyfollow,,54,,,,,,
Filter Env Depth,,55,,,,,,
Filter Env Velo Curve,,56,,,,,,
Filter Env Velo Sens,,57,,,,,,
Filter Env Velo T1 Sens,,58,,,,,,
Filter Env Velo T4 Sens,,59,,,,,,
Filter Env Time Keyfollow,,5A,,,,,,
Filter Env Time 1,,5B,,,,,,
Filter Env Time 2,,5C,,,,,,
Filter Env Time 3,,5D,,,,,,
Filter Env Time 4,,5E,,,,,,
Filter Env Level 1,,5F,,,,,,
Filter Env Level 2,,60,,,,,,
Filter Env Level 3,,61,,,,,,
Filter Env Level 4,,62,,,,,,
Filter Env LFO 1 Depth,,63,,,,,,
Filter Env LFO 2 Depth,,64,,,,,,
Tone Level,,65,,,,,,
Bias Direction,,66,,,,,,
Bias Point,,67,,,,,,
Bias Level,,68,,,,,,
Amp Env Velo Curve,,69,,,,,,
Amp Env Velo Sens,,6A,,,,,,
Amp Env Velo T1 Sens,,6B,,,,,,
Amp Env Velo T4 Sens,,6C,,,,,,
Amp Env Time Keyfollow,,6D,,,,,,
Amp Env Time 1,,6E,,,,,,
Amp Env Time 2,,6F,,,,,,
Amp Env Time 3,,70,,,,,,
Amp Env Time 4,,71,,,,,,
Amp Env Level 1,,72,,,,,,
Amp Env Level 2,,73,,,,,,
Amp Env Level 3,,74,,,,,,
Amp Env LFO 1 Depth,,75,,,,,,
Amp Env LFO 2 Dpeth,,76,,,,,,
Tone Pan,,77,,,,,,
Pan Keyfollow,,78,,,,,,
Random Pan Depth,,79,,,,,,
Alt Pan Depth,,7A,,,,,,
Pan LFO 1 Depth,,7B,,,,,,
Pan LFO 2 Depth,,7C,,,,,,
Out Assign,,7D,,,,,,
Out Level,,7E,,,,,,
Chorus Send Level,,7F,,,,,,
Reverb Send Level,,100,,,,,,
